handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
ossoff,Jon Ossoff,1601230003479662593,521747968,en,1601230003479662593,2022-12-09T14:59:16.000Z,NEWS: The U.S. House has passed my bipartisan bill to help veterans timely access their military service records.,False,1601230003479662593,209,30,30,11
ossoff,Jon Ossoff,1601003920293212160,521747968,en,1601003920293212160,2022-12-09T00:00:54.000Z,RT @SenOssoff: A new bipartisan law championed by Sen. @ossoff will strengthen protections for survivors of workplace sexual assault or har…,False,1601003920293212160,138,0,0,0
ossoff,Jon Ossoff,1600963027846991872,521747968,en,1600963027846991872,2022-12-08T21:18:24.000Z,"RT @SenOssoff: Next Tuesday, PSI Chairman @ossoff will unveil the results of his 8-month bipartisan investigation into sexual abuse of fema…",False,1600963027846991872,185,0,0,0
ossoff,Jon Ossoff,1600670249363218433,521747968,en,1600670249363218433,2022-12-08T01:55:01.000Z,RT @SenOssoff: BREAKING: Sen. @ossoff’s bipartisan bill to prevent and treat opioid addiction just passed the House and now heads to @POTUS…,False,1600670249363218433,2055,0,0,0
ossoff,Jon Ossoff,1600656360852672514,521747968,in,1600656360852672514,2022-12-08T00:59:49.000Z,RT @Jake_Best_: Georgia. https://t.co/UQ3iSwJ2Xp,False,1600656360852672514,4598,0,0,0
ossoff,Jon Ossoff,1600478587877937152,521747968,zxx,1600478587877937152,2022-12-07T13:13:25.000Z,RT @ossoff: https://t.co/abIKXC2VCo,False,1600478587877937152,284,0,0,0
ossoff,Jon Ossoff,1600477545861771264,521747968,zxx,1600477545861771264,2022-12-07T13:09:17.000Z,https://t.co/abIKXC2VCo,False,1600332943922266112,284,56,56,44
ossoff,Jon Ossoff,1600337044194045953,521747968,zxx,1600337044194045953,2022-12-07T03:50:58.000Z,RT @ossoff: https://t.co/YAAmtrYc9J,False,1600337044194045953,291,0,0,0
ossoff,Jon Ossoff,1600335380863074307,521747968,zxx,1600335380863074307,2022-12-07T03:44:22.000Z,https://t.co/YAAmtrYc9J,False,1600332943922266112,291,43,43,11
ossoff,Jon Ossoff,1600332943922266112,521747968,en,1600332943922266112,2022-12-07T03:34:41.000Z,Warnock wins! https://t.co/FvuwijoxIj,False,1600332943922266112,5654,1138,1138,290
ossoff,Jon Ossoff,1600281486716203008,521747968,en,1600281486716203008,2022-12-07T00:10:12.000Z,"If you are in line to vote, STAY IN LINE! 🗳️ 🇺🇸",False,1600281486716203008,1320,130,130,31
ossoff,Jon Ossoff,1600182705332830208,521747968,en,1600182705332830208,2022-12-06T17:37:41.000Z,"Thank you Athens for hosting us this weekend! 

VOTE WARNOCK TODAY! https://t.co/m20bSIaSAi",False,1600182705332830208,428,108,108,21
ossoff,Jon Ossoff,1600153475920195584,521747968,en,1600153475920195584,2022-12-06T15:41:32.000Z,Phone bank for Warnock with me at Noon! https://t.co/TMpQGvaAxu,False,1600153475920195584,92,8,8,5
ossoff,Jon Ossoff,1600142945344069633,521747968,en,1600142945344069633,2022-12-06T14:59:42.000Z,"🇺🇸 🗳️ VOTE WARNOCK, VOTE TODAY!

https://t.co/WtfDxoBw1Q",False,1600142945344069633,318,89,89,8
ossoff,Jon Ossoff,1599925514361151488,521747968,en,1599925514361151488,2022-12-06T00:35:42.000Z,"RT @IDSAInfo: IDSA President Carlos del Rio, MD, FIDSA (@CarlosdelRio7) was recently honored by U.S. Senator Jon Ossoff (@ossoff) for his s…",False,1599925514361151488,34,0,0,0
ossoff,Jon Ossoff,1599887499807318016,521747968,en,1599887499807318016,2022-12-05T22:04:39.000Z,"RT @reidepstein: ""I don't abide by the criticism of Fred McGriff. Fred McGriff is an American hero, and his universal election to the Hall…",False,1599887499807318016,14,0,0,0
ossoff,Jon Ossoff,1599826756638109703,521747968,en,1599826756638109703,2022-12-05T18:03:16.000Z,RT @SenOssoff: BIG NEWS: Sen. @ossoff's bipartisan bill to secure justice for victims of unsolved lynchings and murders in the Civil Rights…,False,1599826756638109703,9014,0,0,0
ossoff,Jon Ossoff,1599601577026789376,521747968,en,1599601577026789376,2022-12-05T03:08:29.000Z,"Post-rally WaHo: scattered, smothered, and peppered. https://t.co/mF3IanojiY",False,1599601577026789376,377,163,163,130
ossoff,Jon Ossoff,1599595241538875392,521747968,en,1599595241538875392,2022-12-05T02:43:19.000Z,RT @SarafinaChitika: Packed house and one HYPE crowd at today’s Dawgs for Warnock rally with @ReverendWarnock and @Ossoff 🔥🔥🔥 #gapol #GASEN…,False,1599595241538875392,1010,0,0,0
ossoff,Jon Ossoff,1599579631912456192,521747968,en,1599579631912456192,2022-12-05T01:41:17.000Z,Thank you UGA! Go Dawgs! Vote ⁦@ReverendWarnock⁩ Tuesday! https://t.co/2Zz4T7I5y5,False,1599579631912456192,2233,547,547,91
ossoff,Jon Ossoff,1599577950550392832,521747968,en,1599577950550392832,2022-12-05T01:34:36.000Z,RT @NorthATLsFinest: It’s a full Dawg House here in Athens as Dawgs for Warnock welcomes @ossoff and @ReverendWarnock and the One More Time…,False,1599577950550392832,133,0,0,0
ossoff,Jon Ossoff,1599576213042839552,521747968,en,1599576213042839552,2022-12-05T01:27:42.000Z,RT @RobDiRienzo: Happening now: Senators Jon Ossoff and Raphael Warnock greet a young supporter after their Athens rally on UGA’s campus. @…,False,1599576213042839552,476,0,0,0
ossoff,Jon Ossoff,1599451763584561152,521747968,en,1599451763584561152,2022-12-04T17:13:11.000Z,UGA: See you at 4:30 for @ReverendWarnock! https://t.co/5qWGDosHM1,False,1599451763584561152,72,18,18,2
ossoff,Jon Ossoff,1599174595499655169,521747968,en,1599174595499655169,2022-12-03T22:51:49.000Z,"Thank you Augusta!

VOTE WARNOCK TUESDAY! https://t.co/pRCPr6VxWz",False,1599174595499655169,2194,1173,1173,78
ossoff,Jon Ossoff,1599168714502393856,521747968,en,1599168714502393856,2022-12-03T22:28:27.000Z,RT @hardiedavis: One more time Georgia!!! Excited to have @ossoff in  #Augusta supporting his colleague @SenatorWarnock https://t.co/pdzpuG…,False,1599168714502393856,190,0,0,0
ossoff,Jon Ossoff,1599084508783181824,521747968,en,1599084508783181824,2022-12-03T16:53:51.000Z,"See you tonight in Atlanta for @ReverendWarnock with @minjinlee11, @jeanniemai, @danieldaekim, @ericnamofficial, @ariannaafsar! https://t.co/2m8Q8yn16p",False,1599084508783181824,275,52,52,18
ossoff,Jon Ossoff,1599066258980638720,521747968,en,1599066258980638720,2022-12-03T15:41:20.000Z,RT @CarlosdelRio7: I am honored and deeply humbled that today @ossoff honored by with a Senate Commendation for my work in infectious disea…,False,1599066258980638720,161,0,0,0
ossoff,Jon Ossoff,1599049244542832641,521747968,en,1599049244542832641,2022-12-03T14:33:43.000Z,"See you this afternoon, Augusta! https://t.co/OlLGijnp6T",False,1599049244542832641,184,50,50,12
ossoff,Jon Ossoff,1599043119546191872,521747968,en,1599043119546191872,2022-12-03T14:09:23.000Z,RT @minjinlee11: Tonight in Atlanta: Please join @ReverendWarnock @ossoff @ericnamofficial @danieldaekim @jeanniemai @ariannaafsar @AAPIVic…,False,1599043119546191872,149,0,0,0
ossoff,Jon Ossoff,1597795371417100288,521747968,en,1597795371417100288,2022-11-30T03:31:16.000Z,RT @ReverendWarnock: This election isn’t about me or Herschel Walker. It’s about Georgians. https://t.co/jaIA33yD7b,False,1597795371417100288,1408,0,0,0
ossoff,Jon Ossoff,1597791385704620032,521747968,en,1597791385704620032,2022-11-30T03:15:26.000Z,"The right to choose our spouse, to choose the person with whom we start a family, is fundamental. 

Today Democrats and Republicans came together to advance human freedom.",False,1597791385704620032,385,127,127,16
ossoff,Jon Ossoff,1597789796122112000,521747968,en,1597789796122112000,2022-11-30T03:09:07.000Z,"RT @SenOssoff: NEWS: Tonight, the Senate passed the bipartisan Respect for Marriage Act.

“The right to choose our spouse, to choose the pe…",False,1597789796122112000,184,0,0,0
ossoff,Jon Ossoff,1596315349619822592,521747968,en,1596315349619822592,2022-11-26T01:30:12.000Z,RT @ReverendWarnock: This is the type of ENERGY we need to carry to the polls!!! 🔥 Vote on or by Dec. 6th. #TeamUSA https://t.co/Qb4DSiKQpk,False,1596315349619822592,4113,0,0,0
ossoff,Jon Ossoff,1596173362832760832,521747968,en,1596173362832760832,2022-11-25T16:05:59.000Z,RT @gpbnews: A bipartisan bill aimed at helping find justice for lynching victims during the civil rights movement era is on its way to Pre…,False,1596173362832760832,217,0,0,0
ossoff,Jon Ossoff,1595472467157565452,521747968,en,1595472467157565452,2022-11-23T17:40:53.000Z,"RT @ReverendWarnock: DEKALB COUNTY! You can vote TODAY here:

Dekalb County Voter Registration &amp; Elections Office 
4380 Memorial Drive Ste.…",False,1595472467157565452,1849,0,0,0
ossoff,Jon Ossoff,1593358247070769153,521747968,en,1593358247070769153,2022-11-17T21:39:43.000Z,RT @SenOssoff: WATCH: Sen. @ossoff presses Senate colleagues to quit bickering and help Dreamers. https://t.co/TbErLy5BNW,False,1593358247070769153,649,0,0,0
ossoff,Jon Ossoff,1593043373740658691,521747968,en,1593043373740658691,2022-11-17T00:48:32.000Z,RT @caitlinrcruz: I wrote about @ossoff-led report about the absolutely appalling gynecological treatments women in ICE detention in Georgi…,False,1593043373740658691,259,0,0,0
ossoff,Jon Ossoff,1593022900281671682,521747968,en,1593022900281671682,2022-11-16T23:27:11.000Z,RT @ajconwashington: A bill creating federal protections for same-sex &amp; interracial marriage has reached the 60 votes needed to avoid a fil…,False,1593022900281671682,209,0,0,0
ossoff,Jon Ossoff,1592985118406504448,521747968,en,1592985118406504448,2022-11-16T20:57:03.000Z,"RT @SenOssoff: Karina, who was detained at Irwin County Detention Center: ""The reason I'm telling this story is because this shouldn't happ…",False,1592985118406504448,226,0,0,0
ossoff,Jon Ossoff,1592918054824214528,521747968,en,1592918054824214528,2022-11-16T16:30:33.000Z,"RT @SenOssoff: PSI Chairman @ossoff: ""I launched this investigation because those who are detained &amp; those who are incarcerated are every b…",False,1592918054824214528,132,0,0,0
ossoff,Jon Ossoff,1592865988315582465,521747968,en,1592865988315582465,2022-11-16T13:03:40.000Z,"RT @SenOssoff: Chairman @ossoff: ""It's hard for me to think of anything worse, really, Dr. Smith, than the Federal government subjecting in…",False,1592865988315582465,9112,0,0,0
ossoff,Jon Ossoff,1592716349708857344,521747968,en,1592716349708857344,2022-11-16T03:09:03.000Z,"RT @ChrisMurphyCT: Warnock needs to make decisions on staffing and ad buys this week. If you haven’t given yet, today is the day. If you’ve…",False,1592716349708857344,675,0,0,0
ossoff,Jon Ossoff,1592710259952713729,521747968,en,1592710259952713729,2022-11-16T02:44:51.000Z,RT @brianschatz: Just want to reiterate that this isn’t manufactured urgency thing - he actually needs to make decisions this week based on…,False,1592710259952713729,506,0,0,0
ossoff,Jon Ossoff,1592702028173938689,521747968,en,1592702028173938689,2022-11-16T02:12:09.000Z,"RT @Bob_Casey: I’m in.

Pennsylvania, we know a thing or two about critical races. Can you chip in to help make sure Georgia sends @Reveren…",False,1592702028173938689,326,0,0,0
ossoff,Jon Ossoff,1592699033990369281,521747968,en,1592699033990369281,2022-11-16T02:00:15.000Z,RT @brianschatz: The main thing you need to know about Trump announcing for re-election is that Raphael Warnock is in a runoff and it’s exa…,False,1592699033990369281,2519,0,0,0
ossoff,Jon Ossoff,1592694827829059586,521747968,en,1592694827829059586,2022-11-16T01:43:32.000Z,"RT @cspan: Sen @ossoff: ""What would you say to the women who went through this?

ICE Health Service Corps Asst. Director Stewart Smith: ""It…",False,1592694827829059586,1045,0,0,0
ossoff,Jon Ossoff,1592692710326296576,521747968,en,1592692710326296576,2022-11-16T01:35:07.000Z,@brianschatz @ChrisMurphyCT @CoryBooker @Bob_Casey Absolutely. Let’s go.,False,1592687621708599296,85,11,11,1
ossoff,Jon Ossoff,1592692638901473280,521747968,en,1592692638901473280,2022-11-16T01:34:50.000Z,RT @brianschatz: Hey @ossoff @ChrisMurphyCT @CoryBooker @Bob_Casey should we try to raise a bunch of money for Raphael Warnock today? IT IS…,False,1592692638901473280,974,0,0,0
ossoff,Jon Ossoff,1592675389977300992,521747968,en,1592675389977300992,2022-11-16T00:26:18.000Z,RT @SenOssoff: WATCH: PSI Chairman @ossoff presses a senior Homeland Security official about the lack of oversight that led to medical mist…,False,1592675389977300992,243,0,0,0
ossoff,Jon Ossoff,1592616036423303169,521747968,en,1592616036423303169,2022-11-15T20:30:27.000Z,RT @SenOssoff: WATCH: PSI Chairman @ossoff's opening statement as he unveils the results of his 18-month bipartisan investigation into medi…,False,1592616036423303169,708,0,0,0
ossoff,Jon Ossoff,1592598303568695299,521747968,es,1592598303568695299,2022-11-15T19:19:59.000Z,"RT @DanielaCamposL: EN POCOS MOMENTOS: El senador @ossoff, liderando el Subcomité Permanente de Investigaciones del Senado, revelará los re…",False,1592598303568695299,20,0,0,0
ossoff,Jon Ossoff,1592590969769263105,521747968,en,1592590969769263105,2022-11-15T18:50:50.000Z,RT @SenOssoff: HAPPENING SOON: PSI Chairman @ossoff unveils the results of his 18-month bipartisan investigation into medical mistreatment…,False,1592590969769263105,88,0,0,0
ossoff,Jon Ossoff,1592529877672275973,521747968,en,1592529877672275973,2022-11-15T14:48:05.000Z,2:30pm today — we will present bipartisan findings investigating the medical mistreatment of women in U.S. detention https://t.co/rsZ91xx3CG,False,1592529877672275973,242,6,6,4
ossoff,Jon Ossoff,1592356439628349442,521747968,en,1592356439628349442,2022-11-15T03:18:54.000Z,"RT @ossoff: Tomorrow, PSI will present findings from our 18-month bipartisan investigation focused on the medical mistreatment of women in…",False,1592356439628349442,237,0,0,0
ossoff,Jon Ossoff,1592325151613648897,521747968,es,1592325151613648897,2022-11-15T01:14:34.000Z,"RT @SenOssoff: SINTONIZA: Mañana el Senador @ossoff, presidente del Subcomité Permanente de Investigaciones del Senado, dará a conocer los…",False,1592325151613648897,41,0,0,0
ossoff,Jon Ossoff,1592304802167656448,521747968,en,1592304802167656448,2022-11-14T23:53:43.000Z,RT @MiryamLipper: Another excellent trailer from Chairman @ossoff and @TeamOssoff to communicate the importance of his bipartisan investiga…,False,1592304802167656448,58,0,0,0
ossoff,Jon Ossoff,1592304286444068865,521747968,en,1592304286444068865,2022-11-14T23:51:40.000Z,RT @HowardMortman: Joining Sen. @ossoff to cast a vote: Sen. @ossoff baby daughter... https://t.co/yPy9zNE2Jl,False,1592304286444068865,160,0,0,0
ossoff,Jon Ossoff,1592298464398172163,521747968,en,1592298464398172163,2022-11-14T23:28:32.000Z,"NEWS: My bipartisan bill to investigate unsolved lynchings and civil rights cold cases just passed the House.

Next to @POTUS desk for his signature.",False,1592298464398172163,10824,1394,1394,379
ossoff,Jon Ossoff,1592296590643171329,521747968,en,1592296590643171329,2022-11-14T23:21:05.000Z,"Tomorrow, PSI will present findings from our 18-month bipartisan investigation focused on the medical mistreatment of women in U.S. detention https://t.co/rsZ91xx3CG",False,1592296590643171329,237,19,19,14
ossoff,Jon Ossoff,1592296188044541952,521747968,en,1592296188044541952,2022-11-14T23:19:29.000Z,"RT @SenOssoff: WATCH: Tomorrow, PSI Chairman @ossoff will unveil the results of his 18-month bipartisan investigation into medical mistreat…",False,1592296188044541952,94,0,0,0
ossoff,Jon Ossoff,1591563239791669252,521747968,en,1591563239791669252,2022-11-12T22:47:00.000Z,RT @ReverendWarnock: I'm ready to keep the good working going in the U.S. Senate with my brother @ossoff! https://t.co/tSfsK9ZZb8,False,1591563239791669252,1419,0,0,0
ossoff,Jon Ossoff,1590873558179368960,521747968,en,1590873558179368960,2022-11-11T01:06:27.000Z,RT @brianschatz: This is by far the biggest twitter raise we’ve done this year. Please help us to continue to blow it out of the water.,False,1590873558179368960,325,0,0,0
ossoff,Jon Ossoff,1590866879681163265,521747968,en,1590866879681163265,2022-11-11T00:39:55.000Z,"That’s a big early boost for the runoff. 

Thanks @JoeBiden @brianschatz @TeamHeinrich @CoryBooker @TinaSmithMN @ChrisMurphyCT @amyklobuchar @Hickenlooper @GavinNewsom and all!

We’ll need to do it again.",False,1590864801374535681,156,18,18,4
ossoff,Jon Ossoff,1590864801374535681,521747968,en,1590864801374535681,2022-11-11T00:31:40.000Z,"You did it folks! 

🤯 $700k raised for @ReverendWarnock since yesterday afternoon!

Avg donation: $53.23

Thank you!!!",False,1590864801374535681,1708,173,173,46
ossoff,Jon Ossoff,1590740721241559041,521747968,en,1590740721241559041,2022-11-10T16:18:37.000Z,"RT @ChrisMurphyCT: Jon, I think we can hit $700K today. Remember, the early money in the Georgia runoff is CRITICAL. The Warnock campaign n…",False,1590740721241559041,668,0,0,0
ossoff,Jon Ossoff,1590736707573678082,521747968,en,1590736707573678082,2022-11-10T16:02:40.000Z,"RT @SenOssoff: On Tuesday, PSI Chairman @ossoff will unveil the results of his 18-month bipartisan investigation into medical mistreatment…",False,1590736707573678082,165,0,0,0
ossoff,Jon Ossoff,1590733013884686338,521747968,und,1590733013884686338,2022-11-10T15:47:59.000Z,RT @brianschatz: @ossoff 700?,False,1590733013884686338,31,0,0,0
ossoff,Jon Ossoff,1590732276702515201,521747968,en,1590732276702515201,2022-11-10T15:45:03.000Z,"Folks, you just crossed $600k (!) raised for Rev. Warnock since 4pm.

Avg. donation $53!

One last push? 🤔 https://t.co/RSiy0zMZHm",False,1590732276702515201,1418,147,147,52
ossoff,Jon Ossoff,1590598339137261569,521747968,en,1590598339137261569,2022-11-10T06:52:50.000Z,"RT @ossoff: Wow. This got huge. 

Y’all are at $450k raised for the Rev. Avg. donation $56!

What do you say we close out the night  hittin…",False,1590598339137261569,1473,0,0,0
ossoff,Jon Ossoff,1590580532391587841,521747968,en,1590580532391587841,2022-11-10T05:42:05.000Z,RT @brianschatz: LETS — GO!,False,1590580532391587841,412,0,0,0
ossoff,Jon Ossoff,1590578939935612928,521747968,en,1590578939935612928,2022-11-10T05:35:45.000Z,"Wow. This got huge. 

Y’all are at $450k raised for the Rev. Avg. donation $56!

What do you say we close out the night  hitting $500k?

Give once more?

https://t.co/S92fO6zN9d",False,1590578939935612928,1473,158,158,95
ossoff,Jon Ossoff,1590576409231384576,521747968,art,1590576409231384576,2022-11-10T05:25:42.000Z,RT @GavinNewsom: 👇,False,1590576409231384576,675,0,0,0
ossoff,Jon Ossoff,1590573859841142785,521747968,en,1590573859841142785,2022-11-10T05:15:34.000Z,RT @GavinNewsom: Internet -- let’s do our thing and raise for Rev. Warnock tonight!!,False,1590573859841142785,4195,0,0,0
ossoff,Jon Ossoff,1590564291840987138,521747968,en,1590564291840987138,2022-11-10T04:37:33.000Z,"RT @ReverendWarnock: My work as a pastor is at the forefront of what I do. Serving my community is my mission, and my community is Georgia.",False,1590564291840987138,6737,0,0,0
ossoff,Jon Ossoff,1590554825628192769,521747968,en,1590554825628192769,2022-11-10T03:59:56.000Z,RT @JoeBiden: You heard the man. Pitch in for Rev. Warnock tonight!,False,1590554825628192769,8556,0,0,0
ossoff,Jon Ossoff,1590549302258307073,521747968,en,1590549302258307073,2022-11-10T03:37:59.000Z,"Folks, you just crossed $300k raised for Rev. Warnock. 

$220k in the last two hours! 🤯 

This is getting big. We can go bigger. 

…@JoeBiden?

https://t.co/S92fO6iK7d",False,1590549302258307073,5383,886,886,319
ossoff,Jon Ossoff,1590532243231240192,521747968,en,1590532243231240192,2022-11-10T02:30:12.000Z,RT @brianschatz: LET’S DO 250K FOR REVEREND WARNOCK I THINK WE GOT THIS sorry to be all caps guy I’m very excited. @ossoff @ChrisMurphyCT @…,False,1590532243231240192,518,0,0,0
ossoff,Jon Ossoff,1590529911537938432,521747968,en,1590529911537938432,2022-11-10T02:20:56.000Z,"RT @amyklobuchar: Sounds like a good idea to me @ossoff @brianschatz 

✅ DONE",False,1590529911537938432,474,0,0,0
ossoff,Jon Ossoff,1590528810348589058,521747968,en,1590528810348589058,2022-11-10T02:16:33.000Z,"RT @ChrisMurphyCT: We can, but @ossoff, this crowd can do better than $100K.

LET'S GO.",False,1590528810348589058,450,0,0,0
ossoff,Jon Ossoff,1590528147262701568,521747968,en,1590528147262701568,2022-11-10T02:13:55.000Z,"152k now! For Warnock. And climbing fast.

Next goal??? https://t.co/KGB30dkHjm",False,1590528147262701568,441,77,77,9
ossoff,Jon Ossoff,1590527156475813888,521747968,en,1590527156475813888,2022-11-10T02:09:59.000Z,RT @jonfavs: Let’s do this,False,1590527156475813888,228,0,0,0
ossoff,Jon Ossoff,1590526693177167875,521747968,en,1590526693177167875,2022-11-10T02:08:08.000Z,"RT @brianschatz: We are at 142k almost to our new 150 k goal, and frankly it’s going a bit bonkers. Let’s keep it up! Let’s hit 150k!",False,1590526693177167875,361,0,0,0
ossoff,Jon Ossoff,1590522184434606082,521747968,en,1590522184434606082,2022-11-10T01:50:13.000Z,RT @brianschatz: We now have a one month very expensive sprint. Republican superpacs are going all in for Raphael’s opponent. Let’s get thi…,False,1590522184434606082,756,0,0,0
ossoff,Jon Ossoff,1590519432098418688,521747968,en,1590519432098418688,2022-11-10T01:39:17.000Z,"10 minutes ago I asked @brianschatz if we could hit $100k raised for Rev. Warnock.

It took 10 minutes. 

So how about 150?

https://t.co/S92fO6zN9d",False,1590519432098418688,706,97,97,42
ossoff,Jon Ossoff,1590518425688084481,521747968,en,1590518425688084481,2022-11-10T01:35:17.000Z,"@brianschatz We just hit $100k. Took 9 minutes.

…150?

https://t.co/S92fO6iK7d",False,1590516466688086016,1044,227,227,70
ossoff,Jon Ossoff,1590515177635872768,521747968,en,1590515177635872768,2022-11-10T01:22:23.000Z,"OK folks @brianschatz asked me to check and we’ve raised $80k for Rev. Warnock since 4pm.

Can we hit $100k???

https://t.co/S92fO6iK7d",False,1590515177635872768,984,203,203,95
ossoff,Jon Ossoff,1590514276334112769,521747968,en,1590514276334112769,2022-11-10T01:18:48.000Z,"@brianschatz Brian, we’ve raised $80k for Rev. Warnock’s runoff since 4pm! 🤯

I think we can hit $100k…

https://t.co/S92fO6zN9d",False,1590512239408467968,209,40,40,17
ossoff,Jon Ossoff,1590513552447934464,521747968,en,1590513552447934464,2022-11-10T01:15:55.000Z,RT @brianschatz: Hey @ossoff can you check w the Rev’s campaign to see how much we’ve raised?,False,1590513552447934464,190,0,0,0
ossoff,Jon Ossoff,1590513124641476608,521747968,en,1590513124641476608,2022-11-10T01:14:13.000Z,@brianschatz One sec,False,1590512239408467968,13,4,4,1
ossoff,Jon Ossoff,1590510101357801474,521747968,en,1590510101357801474,2022-11-10T01:02:13.000Z,"RT @CoryBooker: Raphael Warnock is an incredible colleague. That’s why @ossoff, @brianschatz, @TinaSmithMN, and @TeamHeinrich are not hesit…",False,1590510101357801474,727,0,0,0
ossoff,Jon Ossoff,1590491432585789440,521747968,en,1590491432585789440,2022-11-09T23:48:02.000Z,"RT @TinaSmithMN: Good idea, @Ossoff and @BrianSchatz.

Minnesota, we’re in this fight too. Chip in to keep @ReverendWarnock in the Senate.",False,1590491432585789440,490,0,0,0
ossoff,Jon Ossoff,1590483679528513537,521747968,en,1590483679528513537,2022-11-09T23:17:13.000Z,RT @CoryBooker: Yes! I all in. We need to raise money quickly for the run off!,False,1590483679528513537,238,0,0,0
ossoff,Jon Ossoff,1590476683823681537,521747968,en,1590476683823681537,2022-11-09T22:49:25.000Z,"RT @ossoff: Runoff! Now now now is the moment to chip in to Reverend Warnock’s campaign!

@brianschatz, you in? 

https://t.co/S92fO6iK7d",False,1590476683823681537,3085,0,0,0
ossoff,Jon Ossoff,1590472789882212354,521747968,en,1590472789882212354,2022-11-09T22:33:57.000Z,RT @CoryBooker: Let's get this done Jon! I'm in! Please give what you can.,False,1590472789882212354,462,0,0,0
ossoff,Jon Ossoff,1590466525978570754,521747968,en,1590466525978570754,2022-11-09T22:09:03.000Z,"RT @TeamHeinrich: I'm in! And I won't even wait to be tagged, @ossoff, @brianschatz, @CoryBooker! Let's do this! I wired my max. Who else o…",False,1590466525978570754,127,0,0,0
ossoff,Jon Ossoff,1590461337955860480,521747968,en,1590461337955860480,2022-11-09T21:48:26.000Z,RT @brianschatz: ALL IN SENDING MAX NOW PLEASE HELP!!! @CoryBooker @ChrisMurphyCT,False,1590461337955860480,544,0,0,0
ossoff,Jon Ossoff,1590453585493757952,521747968,en,1590453585493757952,2022-11-09T21:17:38.000Z,"Runoff! Now now now is the moment to chip in to Reverend Warnock’s campaign!

@brianschatz, you in? 

https://t.co/S92fO6iK7d",False,1590453585493757952,3085,359,359,151
ossoff,Jon Ossoff,1590020241324617728,521747968,en,1590020241324617728,2022-11-08T16:35:41.000Z,"🗳️⏰🔔 Today is the LAST CHANCE to vote!

Find out where to vote: https://t.co/nNdqVESMsX

Call or text the Georgia Voter Protection Hotline: 888-730-5816",False,1590020241324617728,110,16,16,2
ossoff,Jon Ossoff,1589747328990470144,521747968,en,1589747328990470144,2022-11-07T22:31:13.000Z,"RT @BeeForGeorgia: 🍑Georgia, listen to the Senator: vote your @ossoff.",False,1589747328990470144,203,0,0,0
ossoff,Jon Ossoff,1589734612871573505,521747968,en,1589734612871573505,2022-11-07T21:40:42.000Z,Last night’s @BeeForGeorgia Summerhill GOTV push ! 🗳️🐝 https://t.co/Y8Qsir3aVF,False,1589451155310104576,74,6,6,9
ossoff,Jon Ossoff,1589733021678448640,521747968,en,1589733021678448640,2022-11-07T21:34:22.000Z,"RT @gringsam: “We’re twins you know. He just got all the hair.”

@ReverendWarnock in Macon campaigning with @ossoff in a repeat of their 20…",False,1589733021678448640,297,0,0,0
ossoff,Jon Ossoff,1589730758658166784,521747968,en,1589730758658166784,2022-11-07T21:25:23.000Z,"RT @MiryamLipper: THREAD for this ~Election Eve~ 

Senator @ossoff has been EVERYWHERE campaigning this fall with, and for, Georgia Democra…",False,1589730758658166784,40,0,0,0
ossoff,Jon Ossoff,1589705800658079744,521747968,en,1589705800658079744,2022-11-07T19:46:12.000Z,"RT @ajconwashington: On Election Eve, @ReverendWarnock is campaigning in Macon with his counterpart, @ossoff, introducing him. https://t.co…",False,1589705800658079744,109,0,0,0
ossoff,Jon Ossoff,1589655054990315520,521747968,en,1589655054990315520,2022-11-07T16:24:34.000Z,"Meeting voters at Halfway Crooks Beer, Summerhill, Atlanta — yesterday with @BeeForGeorgia. https://t.co/8zZVqQ1Hz8",False,1589451155310104576,32,7,7,10
ossoff,Jon Ossoff,1589597811275726848,521747968,en,1589597811275726848,2022-11-07T12:37:06.000Z,RT @ossoff: VOTE TUESDAY! https://t.co/9XjygEHEvE,False,1589597811275726848,443,0,0,0
ossoff,Jon Ossoff,1589467192340668417,521747968,en,1589467192340668417,2022-11-07T03:58:04.000Z,VOTE TUESDAY! https://t.co/9XjygEHEvE,False,1589467192340668417,443,54,54,13
ossoff,Jon Ossoff,1589458425221877762,521747968,en,1589458425221877762,2022-11-07T03:23:13.000Z,"RT @BeeForGeorgia: Thank you Senator @ossoff for visiting the small businesses in Summerhill with me today! Georgians, check out @halfcrook…",False,1589458425221877762,115,0,0,0
ossoff,Jon Ossoff,1589451155310104576,521747968,en,1589451155310104576,2022-11-07T02:54:20.000Z,Meeting voters in Summerhill with ⁦@BeeForGeorgia⁩! 🐶 https://t.co/WCXTWr8GEu,False,1589451155310104576,159,19,19,6
ossoff,Jon Ossoff,1589340216737026048,521747968,en,1589340216737026048,2022-11-06T19:33:30.000Z,Yesterday’s Fountain City Classic Parade in Columbus w/ Georgia’s own @SanfordBishop ! https://t.co/Khqw6nf7P2,False,1589340216737026048,68,11,11,2
ossoff,Jon Ossoff,1589333081177350144,521747968,en,1589333081177350144,2022-11-06T19:05:09.000Z,"See you tonight, @BeeForGeorgia ! https://t.co/KjhUW5TgvH",False,1589333081177350144,65,3,3,2
ossoff,Jon Ossoff,1589332919205920768,521747968,en,1589332919205920768,2022-11-06T19:04:30.000Z,RT @Jake_Best_: Sen. @ossoff getting out the vote in Johns Creek.,False,1589332919205920768,42,0,0,0
