handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
RepMcGovern,Rep. Jim McGovern,1601592573130309634,242426145,en,1601592573130309634,2022-12-10T15:00:00.000Z,"On International Human Rights Day and every day, I'm honored to serve as Co-Chair of the @TLHumanRights to fight for the civil, political, economic, social, and cultural rights of all people, at home and abroad. https://t.co/QtV6UZgoxu",False,1601592573130309634,5,2,2,0
RepMcGovern,Rep. Jim McGovern,1601317510741053440,242426145,en,1601317510741053440,2022-12-09T20:47:00.000Z,"I still remember going to the first Worcester Together meeting back in March 2020. Over 1,000 days later, I continue to be impressed by the impact this group has had: bringing our community together to make sure no person is left out or left behind. https://t.co/WKxgZYVUay",False,1601317510741053440,0,4,4,0
RepMcGovern,Rep. Jim McGovern,1601280175555379202,242426145,en,1601280175555379202,2022-12-09T18:18:38.000Z,"I’m concerned by reports of a high risk of violence in #Bangladesh ahead of planned protests this weekend. Authorities must guarantee the right to peaceful assembly and refrain from use of excessive force. @usembassydhaka 
https://t.co/6S4q8OIptT",False,1601280175555379202,80,36,36,3
RepMcGovern,Rep. Jim McGovern,1601255859967131648,242426145,en,1601255859967131648,2022-12-09T16:42:01.000Z,"Don’t let people tell you both sides are the same. 169 Republicans told LGBTQ &amp; interracial couples their marriages don’t matter.
 
My message to them: cry me a river. The Respect for Marriage Act passed &amp; there’s no room for their bigotry &amp; hate in 2022. https://t.co/pVe50ADbRA",False,1601255859967131648,36,18,18,1
RepMcGovern,Rep. Jim McGovern,1600994638277795840,242426145,en,1600994638277795840,2022-12-08T23:24:01.000Z,"Today Congress passed an $858 billion defense budget—$45 billion got added in the Senate, even though the Pentagon still can’t pass a single audit. No other U.S. agency would be allowed to operate this way. It’s too much for me to support. I voted no.",False,1600994638277795840,83,22,22,9
RepMcGovern,Rep. Jim McGovern,1600980166096093184,242426145,en,1600980166096093184,2022-12-08T22:26:31.000Z,This vote is an important step—but also a reminder of the work that lies ahead to overcome bigotry and hate and build a country that truly lives up to our promise of liberty and justice for all.,False,1600980149234606080,2,4,4,0
RepMcGovern,Rep. Jim McGovern,1600980164271538176,242426145,en,1600980164271538176,2022-12-08T22:26:30.000Z,"We have a sacred responsibility to serve, not score political points, especially when it puts the lives of others at risk.",False,1600980149234606080,2,1,1,0
RepMcGovern,Rep. Jim McGovern,1600980162027585536,242426145,en,1600980162027585536,2022-12-08T22:26:30.000Z,"But let us be clear. 36 Republican Senators &amp; 169 Republican Representatives voted against this bill. GOP leaders continue to spew divisive and disgusting rhetoric about the LGBTQ+ community. America watches what we do here, &amp; that includes those who wish to do harm to others.",False,1600980149234606080,1,1,1,0
RepMcGovern,Rep. Jim McGovern,1600980160001413120,242426145,en,1600980160001413120,2022-12-08T22:26:29.000Z,"To me—and I think to most people across America—that sentiment was repulsive and unacceptable. Love is love, hate has no place here, and no person should be denied equal rights because of who they are or who they want to spend their life with.",False,1600980149234606080,1,2,2,0
RepMcGovern,Rep. Jim McGovern,1600980157753266178,242426145,en,1600980157753266178,2022-12-08T22:26:29.000Z,"When the GOP-appointed extremist majority on the Supreme Court overturned Roe v. Wade, Justice Clarence Thomas made clear that past rulings protecting same-sex marriage and interracial marriage should be reconsidered.",False,1600980149234606080,1,1,1,0
RepMcGovern,Rep. Jim McGovern,1600980155744550912,242426145,en,1600980155744550912,2022-12-08T22:26:28.000Z,"As MAGA Republicans threaten to take away people’s civil rights and civil liberties, Democrats in Congress will keep fighting to honor the dignity and rights of every single person in this country.",False,1600980149234606080,1,1,1,0
RepMcGovern,Rep. Jim McGovern,1600980153684791296,242426145,en,1600980153684791296,2022-12-08T22:26:28.000Z,"Now, by an act of Congress, their fight is honored, their work is affirmed, and marriage equality is enshrined into law.",False,1600980149234606080,1,1,1,0
RepMcGovern,Rep. Jim McGovern,1600980151281471488,242426145,en,1600980151281471488,2022-12-08T22:26:27.000Z,"For decades, LGBTQ+ and civil rights activists have been working towards a more just and equitable country, where people have the right to marry who they love. I’m proud to be from Massachusetts where we have led the way on this issue.",False,1600980149234606080,1,2,2,0
RepMcGovern,Rep. Jim McGovern,1600980149234606080,242426145,en,1600980149234606080,2022-12-08T22:26:27.000Z,"Today, I was so proud to vote yes to uphold marriage equality under federal law. This an amazing and historic victory for equal rights. https://t.co/kkvCC5ZQwA",False,1600980149234606080,11,9,9,2
RepMcGovern,Rep. Jim McGovern,1600888675054669826,242426145,en,1600888675054669826,2022-12-08T16:22:57.000Z,"I welcome the very good news that Brittney Griner has been freed and is on her way home. Thank you @POTUS.

Next: Paul Whelan.
https://t.co/l9sJlYQABq",False,1600888675054669826,5,29,29,2
RepMcGovern,Rep. Jim McGovern,1600862984842403842,242426145,en,1600862984842403842,2022-12-08T14:40:52.000Z,"It is now time to fully realize the vision of East-West Rail, more possible than ever thanks to the Bipartisan Infrastructure Law.
 
I strongly support MassDOT’s grant application for over $108 million in rail improvements between Worcester &amp; Springfield. https://t.co/9Zv77jAYzS",False,1600862984842403842,3,2,2,1
RepMcGovern,Rep. Jim McGovern,1600645123737411584,242426145,en,1600645123737411584,2022-12-08T00:15:10.000Z,"There’s nothing like getting a handwritten letter!
 
My wife Lisa and I took a moment to write cards that will be delivered by the @redcross to servicemembers who will spend their holidays overseas. It’s a small thank you for their selfless service. https://t.co/TfubkjnLDn",False,1600645123737411584,2,7,7,0
RepMcGovern,Rep. Jim McGovern,1600599764877418496,242426145,en,1600599764877418496,2022-12-07T21:14:56.000Z,"After serving through the Trump Administration I’ve basically lost the ability to be shocked by anything MAGA Republicans say or do. But it's shocking that a sitting member of Congress directly called for the one thing your oath says you cannot do.

@RepGosar should resign. https://t.co/ldIPiG2S6e",False,1600599764877418496,24,9,9,3
RepMcGovern,Rep. Jim McGovern,1600569968373940240,242426145,en,1600569968373940240,2022-12-07T19:16:32.000Z,"81 years ago, the course of our country's history was forever changed at #PearlHarbor.

We continue to honor the lives lost that day and commemorate the bravery and sacrifice of those who signed up to fight for our freedom in the days that followed. https://t.co/lWH4adovA5",False,1600569968373940240,7,1,1,1
RepMcGovern,Rep. Jim McGovern,1600567570284822565,242426145,en,1600567570284822565,2022-12-07T19:07:00.000Z,"It’s not enough to just give people food. 
 
Food builds community and is often connected to one’s faith and culture. We must remember the importance of culturally appropriate meals as we work to #EndHungerNow. https://t.co/2T277RX5yx",False,1600567570284822565,4,0,0,0
RepMcGovern,Rep. Jim McGovern,1600528616261324800,242426145,en,1600528616261324800,2022-12-07T16:32:13.000Z,"RT @RulesDemocrats: TUNE IN NOW: the Rules Committee is meeting on…

📜Sen. Amendment to H.R. 7776, the NDAA for FY2023

📜Sen. Amendment to…",False,1600528616261324800,2,0,0,0
RepMcGovern,Rep. Jim McGovern,1600297604163805185,242426145,en,1600297604163805185,2022-12-07T01:14:15.000Z,"Today, we held a Congressional Gold Medal Ceremony for the brave men &amp; women who protected the Capitol during the January 6th insurrection.
 
Trump incited the mob that day. People died. And Republican leaders still stand with him. Absolutely shameful! https://t.co/QaL0fqDjUV",False,1600297604163805185,11,17,17,1
RepMcGovern,Rep. Jim McGovern,1600168633023332353,242426145,en,1600168633023332353,2022-12-06T16:41:46.000Z,"After being honored alongside his bandmates at Sunday’s Kennedy Center Honors, I ran into @U2's the Edge as he was taking a tour of the Capitol.
 
I had another photo with him but I think I lost it. I still haven’t found what I’m looking for. https://t.co/rY8cYbMYAg",False,1600168633023332353,11,9,9,1
RepMcGovern,Rep. Jim McGovern,1599918954314870784,242426145,en,1599918954314870784,2022-12-06T00:09:38.000Z,"I’m proud to see Worcester native Kelly M. Fay Rodríguez appointed as Special Representative for International Labor Affairs at the @StateDept. Congratulations, Kelly – I look forward to working together to promote &amp; protect labor rights around the globe. https://t.co/25Cn9ukt6w",False,1599918954314870784,6,2,2,1
RepMcGovern,Rep. Jim McGovern,1599856923095945216,242426145,en,1599856923095945216,2022-12-05T20:03:09.000Z,"Just when you think Trump hits rock bottom, it gets even worse. And not a single Republican leader will condemn him. https://t.co/Wb8Kb9ki0W",False,1599856923095945216,22,10,10,4
RepMcGovern,Rep. Jim McGovern,1599852564702367745,242426145,en,1599852564702367745,2022-12-05T19:45:49.000Z,"RT @RulesDemocrats: At 3:00 pm, the Rules Committee will meet on:

📜Sen. Amendment to H.R. 8404, the Respect for Marriage Act
📜H.R. 3648, t…",False,1599852564702367745,5,0,0,0
RepMcGovern,Rep. Jim McGovern,1599518657645842432,242426145,en,1599518657645842432,2022-12-04T21:39:00.000Z,"From the grocery store to the pharmacy counter, @POTUS Biden and @HouseDemocrats are lowering costs for all Americans and giving working families a little more breathing room.

Learn more: https://t.co/lORxAr0FSU",False,1599518657645842432,12,10,10,1
RepMcGovern,Rep. Jim McGovern,1599216415839375360,242426145,en,1599216415839375360,2022-12-04T01:38:00.000Z,"Seniors across the Second District told me they’re paying too much for their medicines. That’s why I took on Big Pharma to lower the cost of drugs like insulin–whether greedy pharmaceutical companies like it or not.
https://t.co/SOV8ookwPz",False,1599216415839375360,13,13,13,0
RepMcGovern,Rep. Jim McGovern,1598756132897554451,242426145,en,1598756132897554451,2022-12-02T19:09:00.000Z,"Joe Biden: hosted a state dinner for the President of France.

Donald Trump: hosted a Neo-Nazi dinner party from hell with these two. https://t.co/NzEoRTa8Iz",False,1598756132897554451,7,8,8,1
RepMcGovern,Rep. Jim McGovern,1598657986834169856,242426145,en,1598657986834169856,2022-12-02T12:39:00.000Z,"By making the largest investment EVER to combat the climate crisis, @POTUS Biden and @HouseDemocrats are fighting for a cleaner and greener future for our children and grandchildren.

Learn more: https://t.co/lORxAr0FSU",False,1598657986834169856,6,16,16,2
RepMcGovern,Rep. Jim McGovern,1598652953191014402,242426145,en,1598652953191014402,2022-12-02T12:19:00.000Z,"Today marks the 42nd Anniversary of the martyrdom in El Salvador of Maryknoll Sisters Ita Ford and Maura Clarke, Ursuline Sister Dorothy Kazel, and Lay Missioner Jean Donovan: all killed for daring to stand with the poor and speak out for love.

Today and every day, we remember. https://t.co/E1LgTUpqOC",False,1598652953191014402,68,9,9,3
RepMcGovern,Rep. Jim McGovern,1598295095329038338,242426145,en,1598295095329038338,2022-12-01T12:37:00.000Z,"Gas prices are continuing to fall thanks to @POTUS Biden's swift action to lower prices. Democrats remain committed to lowering costs for working families!
https://t.co/FsrGonH1D7",False,1598295095329038338,116,116,116,3
RepMcGovern,Rep. Jim McGovern,1598017527841710080,242426145,en,1598017527841710080,2022-11-30T18:14:03.000Z,"Beyond thrilled that @RepKClark has a seat at the leadership table and will bring her judgement, integrity, dedication, and decency to our @HouseDemocrats team. Massachusetts is not a follower. We lead the nation. https://t.co/v2ctQN7R5R",False,1598017527841710080,8,6,6,0
RepMcGovern,Rep. Jim McGovern,1598012479501524992,242426145,en,1598012479501524992,2022-11-30T17:53:59.000Z,"A historic moment for our caucus. A historic moment for our country.

United by our values, @HouseDemocrats will continue to put #PeopleOverPolitics to fight for lower costs, better jobs, and safer communities.

Congratulations, @RepJeffries! https://t.co/8zSrefBFuL",False,1598012479501524992,4,1,1,0
RepMcGovern,Rep. Jim McGovern,1598007564591325186,242426145,en,1598007564591325186,2022-11-30T17:34:27.000Z,Good. It’s unacceptable for billionaire corporations like @Starbucks to bully or intimidate workers wanting to start a union. CEO Howard Schultz is worth $3.7 billion but he's attacking the very workers his business depends on. Shameful! https://t.co/krmQKi2pJz,False,1598007564591325186,4,8,8,0
RepMcGovern,Rep. Jim McGovern,1597981327152021504,242426145,en,1597981327152021504,2022-11-30T15:50:12.000Z,"My statement as Co-Chair of the @CECCgov on the protests occurring in China. Bottom line: the Chinese government must listen to its citizens, allow freedom of expression and assembly, and respect the fundamental dignity and rights of all human beings. https://t.co/iry8thGfP6",False,1597981327152021504,4,9,9,1
RepMcGovern,Rep. Jim McGovern,1597648977985695745,242426145,en,1597648977985695745,2022-11-29T17:49:33.000Z,"RT @RulesDemocrats: At 1:00 pm EST, the Rules Committee will meet on:

📄H.R. 3372, the One Stop Shop Community Reentry Program Act

📄H.R. 6…",False,1597648977985695745,3,0,0,0
RepMcGovern,Rep. Jim McGovern,1597645004524388354,242426145,en,1597645004524388354,2022-11-29T17:33:46.000Z,"RT @nycfood: Kids perform better when they are adequately nourished. Thank you to @CommonThreadsUS, students, and staff at PS13Q, and @repm…",False,1597645004524388354,2,0,0,0
RepMcGovern,Rep. Jim McGovern,1597620605406547969,242426145,en,1597620605406547969,2022-11-29T15:56:49.000Z,Just a tremendous loss. Don was a class act who served with honor &amp; integrity. Our friendship goes back to American University College Democrats. A fierce champion for his constituents who fought tirelessly for environmental justice. His loved ones &amp; staff are in my prayers. https://t.co/80zzif8vNQ,False,1597620605406547969,3,0,0,0
RepMcGovern,Rep. Jim McGovern,1597352516945313792,242426145,en,1597352516945313792,2022-11-28T22:11:32.000Z,"Healthier cooking means a healthier country—and it starts in the kitchen! That’s why giving kids &amp; families cooking &amp; nutrition education is so vital, with groups like @CommonThreadsUS leading the way for young chefs here at PS13Q. Thanks Chef Cindy! https://t.co/crIwg60QEJ",False,1597262153794191362,3,0,0,1
RepMcGovern,Rep. Jim McGovern,1597333776279166976,242426145,en,1597333776279166976,2022-11-28T20:57:03.000Z,"New Roots Community Garden in Queens is amazing! A project of @RESCUEorg @NYCUrbanAg &amp; @nyagandmarkets, it’s an urban farm providing green space for refugee &amp; immigrant communities to grow culturally appropriate food AND build community. Such a good idea! https://t.co/ZPFdQSJb8c",False,1597262153794191362,6,1,1,5
RepMcGovern,Rep. Jim McGovern,1597262153794191362,242426145,en,1597262153794191362,2022-11-28T16:12:27.000Z,"Amazing visit to @NYCommonPantry— learning about their hot meals &amp; pantry programs. Their case management services serve as a one stop shop to help people enroll in safety-net programs like SNAP and WIC.

#WHConfHungerHealth is helping us elevate local solutions like this! https://t.co/Jawwtrk59J",False,1597262153794191362,6,3,3,0
RepMcGovern,Rep. Jim McGovern,1595877892013039618,242426145,en,1595877892013039618,2022-11-24T20:31:54.000Z,"Happy Thanksgiving from the McGovern Family! 🍁🦃🍽🥧

Wishing you a day filled with love, joy &amp; delicious food. Let us also remember—though we live in a land of abundance, many do not have enough to eat. I’m thankful to everyone working to right this wrong &amp; #EndHungerNow. https://t.co/Ce0QbSh14h",False,1595877892013039618,5,4,4,0
RepMcGovern,Rep. Jim McGovern,1595079206240911361,242426145,en,1595079206240911361,2022-11-22T15:38:12.000Z,"Immigrant communities face troubling health inequities. 

I joined @SenBooker, @JoaquinCastrotx, @RepJayapal &amp; others calling on @HHSGov to allow DACA recipients  health care coverage through the Affordable Care Act &amp; Children’s Health Insurance Program. https://t.co/qaqbv2dB7Y",False,1595079206240911361,19,16,16,1
RepMcGovern,Rep. Jim McGovern,1594855298614927362,242426145,en,1594855298614927362,2022-11-22T00:48:28.000Z,"RT @HouseBudgetDems: The Inflation Reduction Act is delivering for American families.
 
Starting January 1, more than 3 million Americans w…",False,1594855298614927362,31,0,0,0
RepMcGovern,Rep. Jim McGovern,1594855104045260801,242426145,en,1594855104045260801,2022-11-22T00:47:42.000Z,"Today and every day, I am proud of our incredible community &amp; grateful for the hard work and dedication of so many amazing people working to #EndHungerNow in Massachusetts. https://t.co/BjY2CmGF0f",False,1594855104045260801,35,6,6,4
RepMcGovern,Rep. Jim McGovern,1594760807136391168,242426145,en,1594760807136391168,2022-11-21T18:33:00.000Z,"NEWS: USDA's reforms to WIC will help low-income mothers, infants &amp; children in communities where quality food is too expensive or not available &amp; is exciting progress from September’s @WhiteHouse Conference on Hunger, Nutrition &amp; Health. https://t.co/ihbsnOMdti",False,1594760807136391168,3,4,4,1
RepMcGovern,Rep. Jim McGovern,1594509116873244672,242426145,en,1594509116873244672,2022-11-21T01:52:52.000Z,Making moves with the 13th annual Monte’s March! So proud of our community &amp; all who will come together tomorrow for an incredible walk to #EndHungerNow. https://t.co/XPq7dlB6Ib,False,1594509116873244672,6,2,2,1
RepMcGovern,Rep. Jim McGovern,1594499812254273539,242426145,en,1594499812254273539,2022-11-21T01:15:54.000Z,"Happy birthday, @POTUS Biden! You’ve delivered strong results for the American people, lowering costs and raising wages, creating safer communities, and strengthening our democracy. The nation is grateful for your continued service! https://t.co/6NgVDXLLaJ",False,1594499812254273539,8,9,9,1
RepMcGovern,Rep. Jim McGovern,1594454922740830210,242426145,en,1594454922740830210,2022-11-20T22:17:31.000Z,"My heart aches for the victims &amp; families of last night’s heinous attack against the LGBTQ community in Colorado Springs. As we mark Transgender Day of Remembrance, we must work harder to end the toxic mix of hate, violence &amp; guns that has taken far too many lives. https://t.co/wcXTw5zc9y",False,1594454922740830210,6,1,1,0
RepMcGovern,Rep. Jim McGovern,1593696325064851457,242426145,en,1593696325064851457,2022-11-18T20:03:07.000Z,"I have full confidence in the independence and impartiality of the honorable public servants at the Department of Justice who strive every day to ensure that the laws of this country are fairly enforced. 

Despite what the former president thinks, he is not above the law.",False,1593696325064851457,6,6,6,0
RepMcGovern,Rep. Jim McGovern,1593645792476241922,242426145,en,1593645792476241922,2022-11-18T16:42:20.000Z,"It is always a great honor to preside over the House of Representatives.
https://t.co/BALgdfiIdI https://t.co/zHdx9F4opm",False,1593645792476241922,4,9,9,0
RepMcGovern,Rep. Jim McGovern,1593629648705015811,242426145,en,1593629648705015811,2022-11-18T15:38:11.000Z,Proud to join @CECCgov Chair @SenJeffMerkley to release our bipartisan annual report. We must be smart and accurate in confronting China’s atrocious human rights abuses. Our report provides facts and policy recommendations for Congress &amp; the Administration. https://t.co/vbEX3s5tYR,False,1593629648705015811,5,5,5,2
RepMcGovern,Rep. Jim McGovern,1593357191037259779,242426145,en,1593357191037259779,2022-11-17T21:35:32.000Z,"Big thank you to students from @WPI for visiting the Capitol Building today!

Young people are 100% of our future—it was an honor to welcome them to the heart of U.S. democracy &amp; discuss the important work that goes on here. https://t.co/uvLSez5nHO",False,1593357191037259779,8,7,7,0
RepMcGovern,Rep. Jim McGovern,1593335383303102464,242426145,en,1593335383303102464,2022-11-17T20:08:52.000Z,"As the torch now passes to a new generation of American leaders, we say thank you, Speaker Pelosi. 

My full statement :
https://t.co/yBwlTDXUYg",False,1593335362323156992,6,3,3,0
RepMcGovern,Rep. Jim McGovern,1593335377808465924,242426145,en,1593335377808465924,2022-11-17T20:08:51.000Z,"On a personal level, @SpeakerPelosi has been a friend, a mentor &amp; an inspiration to me and family.

Young women like my daughter Molly look up to her as a role model. Thanks to her history-making leadership, little girls across the country see a future for themselves in Congress. https://t.co/NSi5vhfWkj",False,1593335362323156992,6,4,4,0
RepMcGovern,Rep. Jim McGovern,1593335369671606282,242426145,en,1593335369671606282,2022-11-17T20:08:49.000Z,"Guiding our caucus and the Congress through moments of triumph and tragedy, she has been an iconic leader, an unrelenting champion for children, an unsurpassed voice for human rights, and an unmatched legislator. https://t.co/7Cdzls7u8A",False,1593335362323156992,1,1,1,0
RepMcGovern,Rep. Jim McGovern,1593335362323156992,242426145,en,1593335362323156992,2022-11-17T20:08:47.000Z,"Speaker Nancy Pelosi has been, without a doubt, the greatest, most effective speaker in the history of the House of Representatives. https://t.co/JolBmcnWsI",False,1593335362323156992,22,11,11,1
RepMcGovern,Rep. Jim McGovern,1593004246479564800,242426145,en,1593004246479564800,2022-11-16T22:13:03.000Z,"The Jesuits who were martyred at @UCA_ES on November 16th, 1989 continue to leave a lasting mark on our world. Their compassion, sense of justice, and unwavering commitment to the poor inspire me and so many others.

Porque la lucha es justa, la esperanza no desfallece. https://t.co/yc3R4tKSb5",False,1593004246479564800,8,0,0,0
RepMcGovern,Rep. Jim McGovern,1592974731501707264,242426145,en,1592974731501707264,2022-11-16T20:15:46.000Z,Today I led a historic @RulesDemocrats hearing w/ @TomColeOK04 to explore seating a @CherokeeNation Delegate. Because simply acknowledging past injustices isn't enough &amp; this shouldn't be another broken promise. Thanks @ChuckHoskin_Jr @UofOklahomaLaw @CRS4Congress for testifying. https://t.co/TYiSQsWfth,False,1592974731501707264,104,21,21,13
RepMcGovern,Rep. Jim McGovern,1592967472277524480,242426145,en,1592967472277524480,2022-11-16T19:46:55.000Z,RT @CherokeeNation: “The history of this country is a history of broken promise after broken promise to Native American communities. This c…,False,1592967472277524480,94,0,0,0
RepMcGovern,Rep. Jim McGovern,1592882827775070212,242426145,en,1592882827775070212,2022-11-16T14:10:35.000Z,"RT @RulesDemocrats: This morning at 10:00 EST, the Rules Committee will hold a historic hearing on the “Legal and Procedural Factors Relate…",False,1592882827775070212,16,0,0,0
RepMcGovern,Rep. Jim McGovern,1592874130008842244,242426145,en,1592874130008842244,2022-11-16T13:36:01.000Z,This is what building progressive power in Congress looks like 💯 https://t.co/ikLP6943EX,False,1592874130008842244,10,9,9,1
RepMcGovern,Rep. Jim McGovern,1592710284610674688,242426145,en,1592710284610674688,2022-11-16T02:44:57.000Z,"The first time Trump ran, he claimed to be an outsider.

Now the emperor has no clothes.

He screwed America to enrich himself, lost the House, lost the Senate, lost the popular vote x2, got impeached x2, and led an insurrection. He has more baggage than a 747.

Bring it. https://t.co/gCmwS0k5tS",False,1592710284610674688,55,13,13,2
RepMcGovern,Rep. Jim McGovern,1592709479828971521,242426145,en,1592709479828971521,2022-11-16T02:41:45.000Z,Thank you @POTUS. https://t.co/DM6IEc3bRq,False,1592709479828971521,15,8,8,0
RepMcGovern,Rep. Jim McGovern,1592629415187742720,242426145,en,1592629415187742720,2022-11-15T21:23:36.000Z,"My prayers are with the victims’ families, students &amp; staff at the @UVA and @uidaho who have experienced unimaginable losses. Congress has taken important steps this year to keep Americans safe from gun violence, but we can and must do more. https://t.co/R8EY9QG6is",False,1592629415187742720,3,6,6,1
RepMcGovern,Rep. Jim McGovern,1592602589816033280,242426145,en,1592602589816033280,2022-11-15T19:37:01.000Z,"Representing Central and Western Massachusetts in Congress is an honor.
 
Thank you for your trust. I will always fight hard for every person across our district. https://t.co/fbJLa2ZDMB",False,1592602589816033280,8,7,7,0
RepMcGovern,Rep. Jim McGovern,1592547685621694467,242426145,en,1592547685621694467,2022-11-15T15:58:51.000Z,"RT @RepShontelBrown: In the second quarter alone, four of the largest Big Oil companies made nearly $50 billion in profits.
 
We must creat…",False,1592547685621694467,24,0,0,0
RepMcGovern,Rep. Jim McGovern,1592222605972590592,242426145,en,1592222605972590592,2022-11-14T18:27:05.000Z,"RT @RulesDemocrats: Today at 2:00 PM, the Rules Committee will meet on:

📜S. 4524, Speak Out Act

📜Report on Ending Hunger in America

Tune…",False,1592222605972590592,4,0,0,0
RepMcGovern,Rep. Jim McGovern,1592217521264164864,242426145,en,1592217521264164864,2022-11-14T18:06:53.000Z,"3/ And as host government, #Egypt must lead the way by immediately freeing human rights defender Alaa Abdel Fattah. Repressing civil society undermines climate action. https://t.co/qI7P1mFVJI",False,1592217517497503744,0,0,0,0
RepMcGovern,Rep. Jim McGovern,1592217519359954944,242426145,en,1592217519359954944,2022-11-14T18:06:53.000Z,"2/ I co-chaired a @TLHumanRights hearing last July that offered additional recommendations. High on the list: protect human rights, environmental and land rights advocates. https://t.co/5cYzjOulSp",False,1592217517497503744,1,1,1,0
RepMcGovern,Rep. Jim McGovern,1592217517497503744,242426145,en,1592217517497503744,2022-11-14T18:06:52.000Z,"🧵With @COP27P underway, the U.S. delegation must make sure that #HumanRights are at the center of climate policy. @EarthRightsIntl provides how-to guidance here: https://t.co/rLykUb23OM",False,1592217517497503744,4,3,3,2
RepMcGovern,Rep. Jim McGovern,1591223493508878337,242426145,en,1591223493508878337,2022-11-12T00:16:59.000Z,"Republicans still think their best bet is a disgraced ex-president who lost the popular vote twice, led an insurrection, lost the House &amp; Senate, got impeached twice &amp; is under criminal investigation.

Tells you all you need to know about the GOP.",False,1591223493508878337,31,8,8,3
RepMcGovern,Rep. Jim McGovern,1591172685811560448,242426145,en,1591172685811560448,2022-11-11T20:55:05.000Z,"With a wreath laying at the Korean War Memorial in Worcester, we honor all veterans for their service and recommit ourselves to stand with them today and everyday. https://t.co/ksPm5jI5x2",False,1591172685811560448,4,3,3,0
RepMcGovern,Rep. Jim McGovern,1591147395127164928,242426145,en,1591147395127164928,2022-11-11T19:14:35.000Z,Happy Veterans Day! I spent my morning at Veterans Inc. in Worcester honoring the incredible courage and sacrifice of those who served. https://t.co/dLxtGHiLmA,False,1591147395127164928,2,2,2,0
RepMcGovern,Rep. Jim McGovern,1590852629575667712,242426145,en,1590852629575667712,2022-11-10T23:43:18.000Z,"Riders demanded free fare and we listened.

Thank you to the Worcester Free Fare Coalition, @umassmemorial and state and local officials who are rallying to make free fare permanent in Worcester. I’m with you! https://t.co/C9PEjJb957",False,1590852629575667712,6,2,2,2
RepMcGovern,Rep. Jim McGovern,1590819682113691654,242426145,en,1590819682113691654,2022-11-10T21:32:22.000Z,From the @DailyHampGaz: “Many thanks to U.S. Rep. James McGovern for championing efforts to give a second chance to animals abused in taxpayer-funded experiments.” https://t.co/GhDWCAFAbg,False,1590819682113691654,2,1,1,0
RepMcGovern,Rep. Jim McGovern,1590802894668050432,242426145,en,1590802894668050432,2022-11-10T20:25:40.000Z,"It’s clear: Americans want to keep kids fed.
 
Thank you, Colorado voters, for approving universal, free school meals. Nationally, we march on to make sure no one in this country goes hungry, especially children. https://t.co/qGoAYVoQyo",False,1590802894668050432,34,5,5,4
RepMcGovern,Rep. Jim McGovern,1590774956929200128,242426145,en,1590774956929200128,2022-11-10T18:34:39.000Z,"Those who serve America can never be forgotten, and I’ll always fight passionately to protect their lifetime benefits. It was an honor to join veterans in Hatfield for breakfast. https://t.co/dzJI71pbf9",False,1590774956929200128,3,0,0,0
RepMcGovern,Rep. Jim McGovern,1590739336609533953,242426145,en,1590739336609533953,2022-11-10T16:13:07.000Z,"Brittney Griner should be at home with her family in the U.S., not in a penal colony in #Russia. I support @POTUS efforts to bring @brittneygriner home now. https://t.co/4LNqi9bOsx",False,1590739336609533953,6,6,6,1
RepMcGovern,Rep. Jim McGovern,1590498426978209792,242426145,en,1590498426978209792,2022-11-10T00:15:49.000Z,"If you know Friendly House in Worcester then you know the legend Gordon Hargrove. His work gave many in our community access to food, housing and counseling. We came together to celebrate his legacy—and even got to see his name etched in the basketball court. https://t.co/EjFXPOQM6Z",False,1590498426978209792,4,0,0,0
RepMcGovern,Rep. Jim McGovern,1590074932406681600,242426145,en,1590074932406681600,2022-11-08T20:13:00.000Z,"✅ If you care about healthcare, vote!
✅ If you care about education, vote!
✅ If you care about our planet, vote!
✅ If you care about democracy, vote!

Today is Election Day. Go vote! 🇺🇸",False,1590074932406681600,8,1,1,1
RepMcGovern,Rep. Jim McGovern,1590049512965275648,242426145,en,1590049512965275648,2022-11-08T18:32:00.000Z,"With the Inflation Reduction Act, Democrats are lowering health care premiums for working Americans by hundreds per month: Taking on the special interests and putting more $$$ in your pocket. #PeopleOverPolitics https://t.co/ILE2s0gofr",False,1590049512965275648,8,2,2,0
RepMcGovern,Rep. Jim McGovern,1590020117811060736,242426145,en,1590020117811060736,2022-11-08T16:35:11.000Z,Annoy the pollsters and pundits today. The only thing that matters is YOUR VOTE.,False,1590020117811060736,10,7,7,0
RepMcGovern,Rep. Jim McGovern,1589997193821159424,242426145,en,1589997193821159424,2022-11-08T15:04:06.000Z,"👋 Today is Election Day! 
 
Now is the time to head to the polls.
 
Find where you vote: https://t.co/ISu6PpZDac",False,1589997193821159424,7,0,0,0
RepMcGovern,Rep. Jim McGovern,1589833715290865664,242426145,en,1589833715290865664,2022-11-08T04:14:30.000Z,"To me, being a public servant is about helping people. Leading with integrity, decency &amp; honesty. Putting people over politics to make this country better so that we may love it all the more.

Today &amp; every day, it is a great honor to represent #MA02 in Congress. https://t.co/B1RzcZGulo",False,1589833653097730050,1,4,4,1
