handle,name,tweet_id,author_id,lang,replied_to,created_at,tweet_text,possibly_sensitive,conversation_id,retweet_count,reply_count,like_count,quote_count
JohnCornyn,Senator John Cornyn,1601210816925437953,13218102,en,1601210816925437953,2022-12-09T13:43:02.000Z,Lawmakers push for funding to upgrade military bases https://t.co/LroB10XWrm,False,1601210816925437953,7,22,22,1
JohnCornyn,Senator John Cornyn,1601209546202320896,13218102,en,1601209546202320896,2022-12-09T13:37:59.000Z,Reflection Ministries offers human trafficking survivors chance at life https://t.co/aqaFIMomXg via @mwtnews,False,1601209546202320896,8,14,14,0
JohnCornyn,Senator John Cornyn,1601206556976373761,13218102,en,1601206556976373761,2022-12-09T13:26:06.000Z,"The annual defense bill is a worthy bipartisan rebuke of President Biden’s defense priorities, though Congress and the public are only beginning to grasp the scale of the threats and challenges America now faces. https://t.co/xJ66BaCSYA via @WSJ",False,1601206556976373761,9,25,25,1
JohnCornyn,Senator John Cornyn,1601030654132527105,13218102,en,1601030654132527105,2022-12-09T01:47:08.000Z,"RT @bariweiss: THREAD: THE TWITTER FILES PART TWO. 

TWITTER’S SECRET BLACKLISTS.",False,1601030654132527105,79849,0,0,0
JohnCornyn,Senator John Cornyn,1601029297422024704,13218102,en,1601029297422024704,2022-12-09T01:41:44.000Z,First on CNN: Defense bill takes aim at Russia's pot of gold - https://t.co/dcIMaVPpG7,False,1601029297422024704,3,16,16,0
JohnCornyn,Senator John Cornyn,1601021937429331968,13218102,en,1601021937429331968,2022-12-09T01:12:30.000Z,"RT @ChadPergram: A) Top GOPer on Senate Foreign Rltns Cmte Risch on Griner release: I am glad for Brittney Griner and her family, and wish…",False,1601021937429331968,6,0,0,0
JohnCornyn,Senator John Cornyn,1601021920132362240,13218102,en,1601021920132362240,2022-12-09T01:12:25.000Z,"RT @ChadPergram: B) Risch: It must be clear that Paul Whelan should have been part of this deal; he is a Marine who fought for our country,…",False,1601021920132362240,14,0,0,0
JohnCornyn,Senator John Cornyn,1601002966387154944,13218102,en,1601002966387154944,2022-12-08T23:57:07.000Z,RT @ChadPergram: Nightfall on Capitol Hill https://t.co/u9Ybq52EGZ,False,1601002966387154944,17,0,0,0
JohnCornyn,Senator John Cornyn,1601002861113925632,13218102,en,1601002861113925632,2022-12-08T23:56:41.000Z,"RT @GregAbbott_TX: US Marine Paul Whelan 

Bring him home.",False,1601002861113925632,11131,0,0,0
JohnCornyn,Senator John Cornyn,1600960908909420544,13218102,en,1600960908909420544,2022-12-08T21:09:59.000Z,"RT @mikepompeo: It's good that Congress is removing the military's COVID vaccine.

But it's not enough.

Every soldier wrongfully kicked ou…",False,1600960908909420544,1552,0,0,0
JohnCornyn,Senator John Cornyn,1600960699634798592,13218102,en,1600960699634798592,2022-12-08T21:09:09.000Z,"RT @TexasEconDev: Texas scores another HQ! With the influx of companies moving to the Lone Star State, total Texas relocations in 2022 cont…",False,1600960699634798592,19,0,0,0
JohnCornyn,Senator John Cornyn,1600883371722170369,13218102,en,1600883371722170369,2022-12-08T16:01:53.000Z,"I am disappointed the Biden Admin failed to secure the release of additional U.S. citizens in the exchange. They must continue to press for the release of all Americans unjustly detained by our adversaries, including United States Marine Corps veterans Paul Whelan &amp; Austin Tice. https://t.co/2sth6ZnqTa",False,1600883371722170369,21,72,72,3
JohnCornyn,Senator John Cornyn,1600883220425211904,13218102,en,1600883220425211904,2022-12-08T16:01:17.000Z,"I'm glad to hear the Biden Administration has secured the release of Houston-native Brittney Griner, who has been wrongfully detained in Russia for nearly 10 months.
 
I am eager for her to be safely reunited with her family on American soil. https://t.co/HPeS55oPoY",False,1600883220425211904,13,84,84,11
JohnCornyn,Senator John Cornyn,1600882296902414336,13218102,en,1600882296902414336,2022-12-08T15:57:37.000Z,RT @WSJ: From @WSJopinion: Behold the spectacle as Democrats in the festive spirit try to hang everything from marijuana financing to antit…,False,1600882296902414336,25,0,0,0
JohnCornyn,Senator John Cornyn,1600858415252717569,13218102,en,1600858415252717569,2022-12-08T14:22:43.000Z,RT @ChadPergram: McCarthy taps GOP WI Rep Mike Gallagher to lead select committee on China in the new Congress.,False,1600858415252717569,15,0,0,0
JohnCornyn,Senator John Cornyn,1600843612266278914,13218102,en,1600843612266278914,2022-12-08T13:23:54.000Z,RT @ChuckGrassley: Good morning I got to the office at my usual 5:55AM A member of my staff sent me this pic taken at 7:08 on the National…,False,1600843612266278914,624,0,0,0
JohnCornyn,Senator John Cornyn,1600813420613619712,13218102,en,1600813420613619712,2022-12-08T11:23:55.000Z,U.S. Recognition of Tiny Pacific Country Reshapes Its New Zealand Ties https://t.co/JjYxTXpLFV,False,1600813420613619712,5,17,17,0
JohnCornyn,Senator John Cornyn,1600658058484789248,13218102,en,1600658058484789248,2022-12-08T01:06:34.000Z,RT @ChadPergram: Dem TX Rep Cuellar on Fox: When Title 42 goes away..you're going to see large numbers of people coming in my city..the loc…,False,1600658058484789248,20,0,0,0
JohnCornyn,Senator John Cornyn,1600625930602713096,13218102,en,1600625930602713096,2022-12-07T22:58:54.000Z,RT @HoustonFoodBank: Please support increase in #BasicNeedsAllowance income limits in #NDAA @RepDanCrenshaw @RepFletcher @MLuttrellTX @RepA…,False,1600625930602713096,5,0,0,0
JohnCornyn,Senator John Cornyn,1600571643142758401,13218102,en,1600571643142758401,2022-12-07T19:23:11.000Z,"Most became citizens at naturalization ceremonies, while others got citizenship through their parents or other avenues. The most common countries of origin: Mexico, India, the Philippines, Cuba and the Dominican Republic.",False,1600571640345149453,5,11,11,1
JohnCornyn,Senator John Cornyn,1600571640345149453,13218102,en,1600571640345149453,2022-12-07T19:23:10.000Z,"THE NEW AMERICANS — 1,023,200 immigrants became naturalized U.S. citizens in the last fiscal year, the third-highest total on record after 1996 and 2008, CBS’ Camilo Montoya-Galvez reports. @politico",False,1600571640345149453,8,31,31,2
JohnCornyn,Senator John Cornyn,1600534407231643648,13218102,en,1600534407231643648,2022-12-07T16:55:13.000Z,"RT @TonyGonzales4TX: 4 Republicans, 4 Democrats and BP Union President working together to address CBP agent mental health resiliency. It’s…",False,1600534407231643648,6,0,0,0
JohnCornyn,Senator John Cornyn,1600527341028986881,13218102,en,1600527341028986881,2022-12-07T16:27:09.000Z,"RT @stavridisj: On 7 Dec, we should remember the more than 2200 Sailors and Marines killed at Pearl Harbor, many of whom rest in peace in t…",False,1600527341028986881,150,0,0,0
JohnCornyn,Senator John Cornyn,1600527199328780295,13218102,en,1600527199328780295,2022-12-07T16:26:35.000Z,"RT @stavridisj: The most well-deserved Time ""Person of the Year"" pick ever? Zelensky is the Winston Churchill of our times, standing with c…",False,1600527199328780295,840,0,0,0
JohnCornyn,Senator John Cornyn,1600494693149773824,13218102,en,1600494693149773824,2022-12-07T14:17:25.000Z,"RT @emiliotgonzalez: Excellent article on fentanyl and the #BidenBorderCrisis 

“But with the perilous fentanyl, which some people take unw…",False,1600494693149773824,13,0,0,0
JohnCornyn,Senator John Cornyn,1600300775804018688,13218102,en,1600300775804018688,2022-12-07T01:26:51.000Z,"Glad to today with Abilene Mayor Anthony Williams, Council Members Shane Price and Weldon Hurt, and City Manager Robert Hanna to discuss Dyess Air Force Base’s operations and other priorities for the city. https://t.co/AeyMGLKyhf",False,1600300775804018688,5,28,28,3
JohnCornyn,Senator John Cornyn,1600293468034637824,13218102,en,1600293468034637824,2022-12-07T00:57:49.000Z,"Tonight the Senate confirmed three Texas US Attorneys (Esparza, Hamdani, and Siminton).  @SenTedCruz and my bipartisan evaluation committee recommended these nominations.",False,1600293468034637824,6,24,24,1
JohnCornyn,Senator John Cornyn,1600255340666183680,13218102,en,1600255340666183680,2022-12-06T22:26:19.000Z,"RT @GovAbbott: Big win for Texas #jobs &amp; our nation-leading aerospace, aviation &amp; defense industry!
 
U.S. Army selects Fort Worth-based @B…",False,1600255340666183680,68,0,0,0
JohnCornyn,Senator John Cornyn,1600240836683276289,13218102,en,1600240836683276289,2022-12-06T21:28:41.000Z,RT @mtaibbi: Six Degrees from James Baker: A Familiar Figure Reemerges With the Release of the Twitter Files – JONATHAN TURLEY https://t.co…,False,1600240836683276289,13461,0,0,0
JohnCornyn,Senator John Cornyn,1600226343345537025,13218102,en,1600226343345537025,2022-12-06T20:31:05.000Z,RT @HASCRepublicans: China has rapidly accelerated the expansion of its nuclear arsenal. The CCP is developing new and more capable nuclear…,False,1600226343345537025,28,0,0,0
JohnCornyn,Senator John Cornyn,1600174810176184328,13218102,en,1600174810176184328,2022-12-06T17:06:19.000Z,"When asked why he won't visit the border, President Biden said it's because ""there are more important things going on.""
 
Mr. President, the border crisis is without a doubt the single largest humanitarian &amp; security crisis facing our nation. 
 
And you just don’t care. https://t.co/3tLdrwVBp9",False,1600174810176184328,37,87,87,4
JohnCornyn,Senator John Cornyn,1600157052118372352,13218102,en,1600157052118372352,2022-12-06T15:55:45.000Z,"It was great to visit with Crew-3 astronauts, who spent 6 months at the International Space Station: Thomas H. Marshburn (M.D.), Pilot; Raja Chari, Commander; and Kayla Barron, Mission Specialist. @NASA_Johnson https://t.co/dMAcBwikXK",False,1600157052118372352,8,16,16,0
JohnCornyn,Senator John Cornyn,1600088327528796160,13218102,en,1600088327528796160,2022-12-06T11:22:40.000Z,"Ukraine Targets Bases Deep in Russia, Showing Expanded Reach https://t.co/vcQzrzntJw",False,1600088327528796160,6,27,27,3
JohnCornyn,Senator John Cornyn,1600087073632899072,13218102,en,1600087073632899072,2022-12-06T11:17:41.000Z,Scoop: Bipartisan coalition pushes for national strategy on antisemitism https://t.co/8IzDVdPW4q,False,1600087073632899072,6,33,33,2
JohnCornyn,Senator John Cornyn,1599790285747146752,13218102,en,1599790285747146752,2022-12-05T15:38:21.000Z,"Here’s what you need to know about Title 42, the pandemic-era policy that quickly sends migrants to Mexico https://t.co/PAWNYoL4hW via @TexasTribune",False,1599790285747146752,22,39,39,3
JohnCornyn,Senator John Cornyn,1599787330847399936,13218102,en,1599787330847399936,2022-12-05T15:26:36.000Z,"its climate, soil and productions ... animals ... aboriginal tribes ... natural curiosities ... mines ... and the thousand other topics of interest which our new and rising republic unfolds to the philosopher, the scholar, and the man of the world.""",False,1599787327596818433,4,12,12,1
JohnCornyn,Senator John Cornyn,1599787329320689664,13218102,en,1599787329320689664,2022-12-05T15:26:36.000Z,"The purpose of the organization was stated as ""the collection and diffusion of correct information regarding the moral and social condition of our country; its finances, statistics and political and military history;",False,1599787327596818433,5,6,6,1
JohnCornyn,Senator John Cornyn,1599787327596818433,13218102,en,1599787327596818433,2022-12-05T15:26:36.000Z,"On this day in 1837, the Philosophical Society of Texas was founded by twenty-six prominent Texans who met in the capitol of the Republic of Texas at Houston. @TxStHistAssoc",False,1599787327596818433,5,23,23,1
JohnCornyn,Senator John Cornyn,1599786203842478080,13218102,en,1599786203842478080,2022-12-05T15:22:08.000Z,RT @monica4congress: Great to see my good friend Congresswoman Mayra Flores at the Texas delegation's Christmas Party! 🇺🇸🎄 https://t.co/ot0…,False,1599786203842478080,257,0,0,0
JohnCornyn,Senator John Cornyn,1599786047772438529,13218102,en,1599786047772438529,2022-12-05T15:21:31.000Z,"RT @RogerWicker: GEORGIA: Get out and vote for @HerschelWalker  TOMORROW! Herschel is our guy, and we need him in the Senate!",False,1599786047772438529,2959,0,0,0
JohnCornyn,Senator John Cornyn,1599772701886803969,13218102,en,1599772701886803969,2022-12-05T14:28:29.000Z,"RT @emiliotgonzalez: Since October, the beginning of FY 23, over 137,000 illegal migrants (the population of Cedar Rapids, IA) have been id…",False,1599772701886803969,13,0,0,0
JohnCornyn,Senator John Cornyn,1599736110762332160,13218102,en,1599736110762332160,2022-12-05T12:03:05.000Z,"RT @GregAbbott_TX: It’s beginning to look a lot like Christmas at the Capitol.

The Capitol Christmas Tree is lit!

Merry Christmas, Texas!…",False,1599736110762332160,563,0,0,0
JohnCornyn,Senator John Cornyn,1599725232360914945,13218102,en,1599725232360914945,2022-12-05T11:19:51.000Z,"The partisan foray by U.S. intelligence officials in the last two elections is a form of political corruption that needs to be exposed, and perhaps the Twitter documents will help to unlock the story. https://t.co/hozztP1582 via @WSJ",False,1599725232360914945,21,78,78,5
JohnCornyn,Senator John Cornyn,1599724640196517889,13218102,en,1599724640196517889,2022-12-05T11:17:30.000Z,"The fiasco of zero-Covid, growing Communist oppression at home and rising aggression abroad make clear that China isn’t the economic opportunity it was. https://t.co/afemOJMfkn via @WSJ",False,1599724640196517889,13,15,15,4
JohnCornyn,Senator John Cornyn,1599577712162578433,13218102,en,1599577712162578433,2022-12-05T01:33:39.000Z,RT @DadePhelan: Beautiful #txlege #Christmas topper. Trimming the tree in #setx! https://t.co/i1gqjrxg45,False,1599577712162578433,6,0,0,0
JohnCornyn,Senator John Cornyn,1599575250442031104,13218102,en,1599575250442031104,2022-12-05T01:23:53.000Z,"RT @SteveDaines: To help keep fentanyl out of MT communities, we must secure @JoeBiden’s open border. https://t.co/HxDBjleuBv",False,1599575250442031104,34,0,0,0
JohnCornyn,Senator John Cornyn,1599535920675721216,13218102,en,1599535920675721216,2022-12-04T22:47:36.000Z,"RT @RealCynicalFox: In nine months, by an army with under 500K troops in the field.  This illustrates both how ravenous conventional warfar…",False,1599535920675721216,81,0,0,0
JohnCornyn,Senator John Cornyn,1599484361929359360,13218102,en,1599484361929359360,2022-12-04T19:22:43.000Z,Opinion | What Euthanasia Has Done to Canada - The New York Times https://t.co/YbMY0CrmTL,False,1599484361929359360,9,40,40,3
JohnCornyn,Senator John Cornyn,1599440167571718144,13218102,en,1599440167571718144,2022-12-04T16:27:06.000Z,Austin should follow Dallas’s lead https://t.co/eT3XZC9adi,False,1599440167571718144,8,26,26,2
JohnCornyn,Senator John Cornyn,1599401218337800193,13218102,en,1599401218337800193,2022-12-04T13:52:20.000Z,"Matt Taibbi, Douglas Murray Dominate Trust-in-Media Debate https://t.co/zrzPPnjIS3",False,1599401218337800193,8,47,47,1
JohnCornyn,Senator John Cornyn,1599400285566140416,13218102,en,1599400285566140416,2022-12-04T13:48:38.000Z,Philadelphia City Council approves permanent 10 p.m. curfew https://t.co/dblxd0h0TI via @CBSPhiladelphia,False,1599400285566140416,17,39,39,8
JohnCornyn,Senator John Cornyn,1599398924137402368,13218102,en,1599398924137402368,2022-12-04T13:43:13.000Z,A spotlight on Chinese debt bondage https://t.co/vm6zE6JxRM,False,1599398924137402368,19,14,14,9
JohnCornyn,Senator John Cornyn,1599390434911866880,13218102,en,1599390434911866880,2022-12-04T13:09:29.000Z,"The administration’s open border policies are a green light to the drug cartels to import the drugs that took 108,000 American lives - including those written about in this article - last year alone.  #BidenBorderCrisis",False,1599390433209356288,34,57,57,3
JohnCornyn,Senator John Cornyn,1599390433209356288,13218102,en,1599390433209356288,2022-12-04T13:09:29.000Z,"Drugs killed 8 friends, one by one, in a tragedy seen across the U.S. https://t.co/Vc2FMnzo7O",False,1599390433209356288,26,64,64,4
JohnCornyn,Senator John Cornyn,1599387280044888065,13218102,en,1599387280044888065,2022-12-04T12:56:57.000Z,RT @ndaajustice: We hear from our members every day about the challenges they face addressing fentanyl in their communities. That’s why we…,False,1599387280044888065,4,0,0,0
JohnCornyn,Senator John Cornyn,1599382420448739330,13218102,en,1599382420448739330,2022-12-04T12:37:38.000Z,RT @CityofMcAllen: The McAllen Holiday Parade presented by @heb and powered by @bertogdenrfv grand finale! 🎄❤️🪐🎅🏽 #mhp2022 https://t.co/gBm…,False,1599382420448739330,15,0,0,0
JohnCornyn,Senator John Cornyn,1599382369059844096,13218102,en,1599382369059844096,2022-12-04T12:37:26.000Z,RT @CityofMcAllen: McAllen Mayor Villalobos and guest Mayors in an amazing Star Wars float! #mhp2022 https://t.co/ridAPFV7tr,False,1599382369059844096,14,0,0,0
JohnCornyn,Senator John Cornyn,1599381954704515073,13218102,en,1599381954704515073,2022-12-04T12:35:47.000Z,"RT @GregAbbott_TX: As Biden FAILS to fix the crisis his open border policies created, Texas continues to secure the border.

#OperationLone…",False,1599381954704515073,493,0,0,0
JohnCornyn,Senator John Cornyn,1599381780213403649,13218102,en,1599381780213403649,2022-12-04T12:35:06.000Z,RT @JudgeCortez: Help me cheer on the @PSJAISD North Early College High School Raiders as they head to the Regional Championship today! htt…,False,1599381780213403649,6,0,0,0
JohnCornyn,Senator John Cornyn,1599202846657810432,13218102,en,1599202846657810432,2022-12-04T00:44:05.000Z,"RT @Johnson4Dallas: Had some very special friends on hand tonight to help light the @DallasMayor’s Tree at our city’s town square, the amaz…",False,1599202846657810432,7,0,0,0
JohnCornyn,Senator John Cornyn,1599202795323654144,13218102,en,1599202795323654144,2022-12-04T00:43:52.000Z,RT @DadePhelan: Thank you to my Republican @TXGOPCaucus colleagues for selecting me to serve as their speaker nominee for a second term. Ev…,False,1599202795323654144,52,0,0,0
JohnCornyn,Senator John Cornyn,1599201634289995776,13218102,en,1599201634289995776,2022-12-04T00:39:16.000Z,"RT @mikepompeo: TikTok isn't just a spying app. It's a propaganda tool for the Chinese Communist Party.

There's no reason it should be all…",False,1599201634289995776,3773,0,0,0
JohnCornyn,Senator John Cornyn,1599052409392623616,13218102,en,1599052409392623616,2022-12-03T14:46:18.000Z,"RT @JoshKraushaar: It’s a final — the last race is called for the House. 

GOP House majority will be 222 seats — a nine-seat pickup. Exact…",False,1599052409392623616,428,0,0,0
JohnCornyn,Senator John Cornyn,1599042372674850816,13218102,en,1599042372674850816,2022-12-03T14:06:25.000Z,"RT @RepArrington: The B-21 will be the backbone of our bomber fleet &amp; the most lethal &amp; capable bomber in the world. 

Securing a B-21 flee…",False,1599042372674850816,6,0,0,0
JohnCornyn,Senator John Cornyn,1599038142652518403,13218102,en,1599038142652518403,2022-12-03T13:49:36.000Z,RT @mtaibbi: 1. Thread: THE TWITTER FILES,False,1599038142652518403,131179,0,0,0
JohnCornyn,Senator John Cornyn,1599036549466767360,13218102,en,1599036549466767360,2022-12-03T13:43:16.000Z,RT @BPUnion: Leftists want you to believe that simply creating more laws will fix the Biden Admin's refusal to enforce the laws we currentl…,False,1599036549466767360,616,0,0,0
JohnCornyn,Senator John Cornyn,1599035941053612034,13218102,en,1599035941053612034,2022-12-03T13:40:51.000Z,Biden Needs a Reaganesque Approach to China https://t.co/k2SzyhJHg9,False,1599035941053612034,7,52,52,5
JohnCornyn,Senator John Cornyn,1599035581517860866,13218102,en,1599035581517860866,2022-12-03T13:39:25.000Z,RT @MariaBartiromo: Even more sad is the media. And social media. will there be consequences or will the media decide not to report the tru…,False,1599035581517860866,861,0,0,0
JohnCornyn,Senator John Cornyn,1599035334934745088,13218102,en,1599035334934745088,2022-12-03T13:38:27.000Z,RT @TonyGonzales4TX: Little known fact - Our newest member from #TX15 is a UTSA alum! Birds up @monica4congress https://t.co/lLGC7SVQOV,False,1599035334934745088,16,0,0,0
JohnCornyn,Senator John Cornyn,1599035287224471552,13218102,en,1599035287224471552,2022-12-03T13:38:15.000Z,Japan eyes up to ¥43 trillion for five-year defense spending plan | The Japan Times https://t.co/Pz1YX68HLt,False,1599035287224471552,3,11,11,2
JohnCornyn,Senator John Cornyn,1599021505274597376,13218102,en,1599021505274597376,2022-12-03T12:43:29.000Z,"Apple is making plans to shift some of its production outside China, say people involved in the discussions, to escape Covid disruptions and worker unrest https://t.co/mvm04zaxCw via @WSJ",False,1599021505274597376,6,33,33,7
JohnCornyn,Senator John Cornyn,1599021044974555136,13218102,en,1599021044974555136,2022-12-03T12:41:40.000Z,"Falling wind speeds in Europe are pushing energy prices higher, underscoring the heightened vulnerability of the continent’s energy system to weather conditions this winter. https://t.co/ZtZx1xFCfe via @WSJ",False,1599021044974555136,15,37,37,4
JohnCornyn,Senator John Cornyn,1599018309659537409,13218102,en,1599018309659537409,2022-12-03T12:30:48.000Z,How China’s Police Used Phones and Faces to Track Protesters https://t.co/dJoKxflzEs,False,1599018309659537409,21,29,29,4
JohnCornyn,Senator John Cornyn,1599015898701963266,13218102,en,1599015898701963266,2022-12-03T12:21:13.000Z,"RT @emiliotgonzalez: “The sources said estimates of the extra number of migrants who might cross daily when Title 42 ends approach 2,500, m…",False,1599015898701963266,16,0,0,0
JohnCornyn,Senator John Cornyn,1599015849079119872,13218102,en,1599015849079119872,2022-12-03T12:21:01.000Z,The Supreme Court takes up a case testing free speech against anti-discrimination law. https://t.co/l2ug6on27s via @WSJ,False,1599015849079119872,14,22,22,0
JohnCornyn,Senator John Cornyn,1599014591299977216,13218102,en,1599014591299977216,2022-12-03T12:16:01.000Z,"RT @usairforce: Unveiled today, the B-21 Raider will be a dual-capable, penetrating-strike stealth bomber capable of delivering both conven…",False,1599014591299977216,5925,0,0,0
JohnCornyn,Senator John Cornyn,1598830456190877696,13218102,en,1598830456190877696,2022-12-03T00:04:20.000Z,RT @GLFOP: ⚠️ OVER 300 POLICE OFFICERS SHOT ➡️ We’ve seen 302 officers shot in the line of duty this year; 114 of them were shot in 79 ambu…,False,1598830456190877696,80,0,0,0
JohnCornyn,Senator John Cornyn,1598829899569299456,13218102,en,1598829899569299456,2022-12-03T00:02:07.000Z,"RT @Johnson4Dallas: Recently, I spoke about the state of our city. It’s clear that Dallas is thriving right now — and it’s in part because…",False,1598829899569299456,9,0,0,0
JohnCornyn,Senator John Cornyn,1598807582067417088,13218102,en,1598807582067417088,2022-12-02T22:33:26.000Z,"RT @fbermingham: “This is the time to stop being naive, also when it comes to China,” says Sanna Marin
 
Finnish leader warns democratic co…",False,1598807582067417088,659,0,0,0
JohnCornyn,Senator John Cornyn,1598738085872898049,13218102,en,1598738085872898049,2022-12-02T17:57:17.000Z,RT @RepTonyGonzales: We must hold the Biden administration accountable for the disaster they have created at our southern border. Simply en…,False,1598738085872898049,53,0,0,0
JohnCornyn,Senator John Cornyn,1598679065652695040,13218102,en,1598679065652695040,2022-12-02T14:02:45.000Z,"RT @TomCottonAR: Instead of effusive empathy for the millennial Madoff, the media should focus on the millions of FTX victims.",False,1598679065652695040,823,0,0,0
JohnCornyn,Senator John Cornyn,1598678678979969027,13218102,en,1598678678979969027,2022-12-02T14:01:13.000Z,"Joe Lonsdale on Elon Musk, Starlink, and Buying Twitter https://t.co/oEBuPkGfel via @YouTube",False,1598678678979969027,2,48,48,0
JohnCornyn,Senator John Cornyn,1598651212508831746,13218102,en,1598651212508831746,2022-12-02T12:12:05.000Z,Cornyn: Secretary Mayorkas Can’t Cherry-Pick Laws to Enforce at the Border https://t.co/fFlSyTwIeA’t-cherry-pick-laws-enforce-border,False,1598651212508831746,20,68,68,2
JohnCornyn,Senator John Cornyn,1598645367758901250,13218102,en,1598645367758901250,2022-12-02T11:48:51.000Z,"Now, they want to ignore the #BidenBorderCrisis and horrific drug overdose deaths in America directly related to their open borders policy.",False,1598645364629831681,12,54,54,4
JohnCornyn,Senator John Cornyn,1598645366395633664,13218102,en,1598645366395633664,2022-12-02T11:48:51.000Z,Ds have been in charge of the federal government for going on 2 years and there have been zero bills marked up in committee or scheduled for floor vote on this topic.,False,1598645364629831681,8,27,27,3
JohnCornyn,Senator John Cornyn,1598645364629831681,13218102,en,1598645364629831681,2022-12-02T11:48:50.000Z,Democrats are scrambling to see whether they can cobble together enough support to reach a deal allowing the young immigrants known as Dreamers to stay legally in the U.S. https://t.co/aH8I3vwDIx via @WSJ,False,1598645364629831681,10,88,88,6
JohnCornyn,Senator John Cornyn,1598440620649074691,13218102,en,1598440620649074691,2022-12-01T22:15:16.000Z,Glad to be your wing man https://t.co/CKgV0U16eZ,False,1598440620649074691,14,68,68,0
JohnCornyn,Senator John Cornyn,1598436649427410944,13218102,en,1598436649427410944,2022-12-01T21:59:29.000Z,"RT @GLFOP: 🚨 NEW REPORT ➡️ The violence against law enforcement MUST STOP! So far this year:

⚠️ 302 Officers Shot in the Line of Duty

⚠️…",False,1598436649427410944,421,0,0,0
JohnCornyn,Senator John Cornyn,1598380271979884545,13218102,en,1598380271979884545,2022-12-01T18:15:27.000Z,"RT @NADB_BDAN: Thank you to @JohnCornyn for his continued support of #NADBank,🇺🇸🇲🇽economic relationship, &amp; much-needed infrastructure to he…",False,1598380271979884545,7,0,0,0
JohnCornyn,Senator John Cornyn,1598339997664481281,13218102,en,1598339997664481281,2022-12-01T15:35:25.000Z,RT @VanceGinn: Good chart by @jeremybmazur showing how #Texas is powering #America! @texas2036 https://t.co/b52PUDkFoO,False,1598339997664481281,15,0,0,0
JohnCornyn,Senator John Cornyn,1598333666614251521,13218102,en,1598333666614251521,2022-12-01T15:10:16.000Z,"RT @GregAbbott_TX: Amazing how the Biden Admin. just blatantly lies. 

This is the same person who insisted that immigrants don’t just walk…",False,1598333666614251521,1204,0,0,0
JohnCornyn,Senator John Cornyn,1598305318798237700,13218102,en,1598305318798237700,2022-12-01T13:17:37.000Z,RT @YashengHuang: Secretary of Commerce Gina Raimondo giving a comprehensive speech at MIT on US economic and competitiveness strategy. It…,False,1598305318798237700,27,0,0,0
JohnCornyn,Senator John Cornyn,1598305224908832769,13218102,en,1598305224908832769,2022-12-01T13:17:15.000Z,"RT @elonmusk: Twitter is purging a lot of spam/scam accounts right now, so you may see your follower count drop",False,1598305224908832769,69541,0,0,0
JohnCornyn,Senator John Cornyn,1598290184818286592,13218102,en,1598290184818286592,2022-12-01T12:17:29.000Z,Mexico is threatening to ban genetically modified U.S. corn and is discriminating against U.S. energy investors. https://t.co/ydUuKg31Tc,False,1598290184818286592,15,80,80,6
JohnCornyn,Senator John Cornyn,1598068701982507008,13218102,en,1598068701982507008,2022-11-30T21:37:23.000Z,Alzheimer's drug lecanemab hailed as momentous breakthrough https://t.co/o1KSEG2XlZ,False,1598068701982507008,8,13,13,2
JohnCornyn,Senator John Cornyn,1598035750221582336,13218102,en,1598035750221582336,2022-11-30T19:26:27.000Z,RT @TexasMonthly: Four players on the U.S. World Cup roster came through FC Dallas’s system—and soccer pundits think that number could have…,False,1598035750221582336,4,0,0,0
JohnCornyn,Senator John Cornyn,1597995349364576256,13218102,en,1597995349364576256,2022-11-30T16:45:55.000Z,RT @CesarConda: The border is a disaster. This piece in ⁦@townhallcom⁩ makes a compelling case to enact bipartisan border security reforms…,False,1597995349364576256,4,0,0,0
JohnCornyn,Senator John Cornyn,1597995158171451397,13218102,en,1597995158171451397,2022-11-30T16:45:09.000Z,"RT @JakeSherman: UPDATE: @JohnCornyn, who expressed openness yesterday to increasing rail paid leave from 1 to 7 days, says he’s now oppose…",False,1597995158171451397,204,0,0,0
JohnCornyn,Senator John Cornyn,1597913302226477056,13218102,en,1597913302226477056,2022-11-30T11:19:53.000Z,"With Intimidation and Surveillance, China Tries to Snuff Out Protests https://t.co/1kPhGgXIt9",False,1597913302226477056,11,72,72,8
JohnCornyn,Senator John Cornyn,1597912374606192640,13218102,en,1597912374606192640,2022-11-30T11:16:12.000Z,RT @MeadowsInst: The passage of Sen. @JohnCornyn’s Justice and Mental Health Collaboration Reauthorization Act supporting MDRT programs lik…,False,1597912374606192640,6,0,0,0
JohnCornyn,Senator John Cornyn,1597768539603349504,13218102,en,1597768539603349504,2022-11-30T01:44:39.000Z,"RT @JohnSnookMMHPI: Celebrating the overwhelming passage of  @JohnCornyn’s S3846, which provides support for MDRT teams like Dallas’ RIGHTC…",False,1597768539603349504,3,0,0,0
JohnCornyn,Senator John Cornyn,1597754797742247936,13218102,en,1597754797742247936,2022-11-30T00:50:03.000Z,"RT @ChadPergram: Cornyn on Biden &amp; rail strike: He’s got authority to act, but now he wants to punt to Congress after the election when we…",False,1597754797742247936,9,0,0,0
JohnCornyn,Senator John Cornyn,1597731282553032704,13218102,en,1597731282553032704,2022-11-29T23:16:36.000Z,RT @mikepompeo: The Biden Administration should make clear: we support the brave Chinese protesters who are standing up against tyranny.,False,1597731282553032704,2111,0,0,0
